itemCode,itemName,category,itemPrice,stock,minStockAllowed,stockUpdateDate,stockStatus,quantityReq,supplierID,supplierName
I030,Chair,Home Essentials,191.9,47,10,15/9/2024,Sufficient,N/A,S004,Modern Living Supplies
I031,Table,Home Essentials,444.83,18,5,26/12/2023,Sufficient,N/A,S014,PrimeTech Supplies
I032,Wardrobe,Home Essentials,103.73,27,11,3/1/2024,Sufficient,N/A,S012,Living Essentials Co.
I033,Bookshelf,Home Essentials,105.95,40,11,9/6/2024,Sufficient,N/A,S013,Better Living Ltd.
I034,Desk Lamp,Home Essentials,144.61,43,5,4/4/2024,Sufficient,N/A,S010,Appliance World
I035,Wall Clock,Home Essentials,497.94,35,7,13/4/2024,Sufficient,N/A,S025,Global Goods Supplier
I036,Door Mat,Home Essentials,407.77,7,15,9/5/2024,Understock,8,S019,QuickValue Distributors
I037,Broom,Home Essentials,150.38,18,11,11/9/2024,Sufficient,N/A,S021,Elite Supply Co.
I038,Mop,Home Essentials,483.8,9,14,22/2/2024,Understock,5,S017,ElectroWare Supplies
I039,Dustbin,Home Essentials,335.44,9,7,14/2/2024,Sufficient,N/A,S004,Modern Living Supplies
I040,Clothes Rack,Home Essentials,426.63,31,13,4/6/2024,Sufficient,N/A,S011,TechBase Supplies
I041,Smartphone,Electronics,447.13,7,10,30/7/2024,Understock,3,S006,FutureWare Electronics
I042,Laptop,Electronics,388.07,34,12,27/4/2024,Sufficient,N/A,S007,SmartHome Inc.
I043,Tablet,Electronics,353.13,10,7,26/10/2024,Sufficient,N/A,S022,Luxury Homeware
I044,Smartwatch,Electronics,131.57,15,14,10/12/2023,Sufficient,N/A,S014,PrimeTech Supplies
I045,Headphones,Electronics,257.19,30,13,10/4/2024,Sufficient,N/A,S017,ElectroWare Supplies
I046,Bluetooth Speaker,Electronics,98.56,15,5,24/8/2024,Sufficient,N/A,S025,Global Goods Supplier
I047,Gaming Console,Electronics,425.09,39,13,1/2/2024,Sufficient,N/A,S023,QuickElectronics
I048,Monitor,Electronics,458.43,45,7,23/11/2024,Sufficient,N/A,S012,Living Essentials Co.
I049,Printer,Electronics,364.67,49,9,25/9/2024,Sufficient,N/A,S019,QuickValue Distributors
I050,External Hard Drive,Electronics,185.09,10,14,30/12/2023,Understock,4,S002,Home Goods Co.
I051,USB Flash Drive,Electronics,442.34,26,11,14/8/2024,Sufficient,N/A,S016,Home Helper Co.
I052,Camera,Electronics,397.69,21,7,4/3/2024,Sufficient,N/A,S015,GreenTech Traders
I053,Tripod,Electronics,497.13,31,12,20/1/2024,Sufficient,N/A,S020,Tech Mart Inc.
I054,Smart TV,Electronics,106.08,23,11,19/8/2024,Sufficient,N/A,S010,Appliance World
I055,Streaming Device,Electronics,130.82,17,11,2/6/2024,Sufficient,N/A,S006,FutureWare Electronics
I056,Power Bank,Electronics,171.99,45,14,28/10/2024,Sufficient,N/A,S004,Modern Living Supplies
I057,Wireless Charger,Electronics,105.76,14,11,14/7/2024,Sufficient,N/A,S002,Home Goods Co.
I058,Router,Electronics,106.35,33,6,26/1/2024,Sufficient,N/A,S022,Luxury Homeware
I059,Drone,Electronics,390.31,17,11,27/7/2024,Sufficient,N/A,S005,TechGiant Distribution
I060,VR Headset,Electronics,193.69,11,8,5/9/2024,Sufficient,N/A,S001,Electro Supply
